iter	Passed	Remaining
0	68	34207
1	81	20322
2	92	15319
3	104	12897
4	114	11338
5	125	10299
6	136	9639
7	148	9145
8	160	8738
9	171	8421
10	183	8154
11	195	7941
12	206	7743
13	255	8859
14	299	9670
15	362	10973
16	376	10689
17	390	10445
18	404	10250
19	418	10036
20	430	9823
21	442	9614
22	455	9446
23	467	9276
24	480	9135
25	492	8983
26	505	8850
27	516	8711
28	529	8591
29	541	8479
30	552	8359
31	563	8245
32	575	8149
33	587	8046
34	598	7951
35	610	7864
36	621	7781
37	633	7699
38	644	7622
39	656	7551
40	668	7482
41	679	7413
42	691	7345
43	702	7281
44	714	7222
45	726	7171
46	739	7123
47	750	7070
48	762	7015
49	773	6961
50	784	6907
51	795	6857
52	806	6806
53	819	6768
54	831	6726
55	842	6682
56	853	6636
57	864	6591
58	876	6551
59	887	6511
60	899	6472
61	911	6435
62	922	6398
63	933	6360
64	944	6324
65	956	6290
66	968	6260
67	980	6231
68	991	6195
69	1003	6163
70	1014	6131
71	1026	6100
72	1037	6069
73	1049	6040
74	1060	6011
75	1071	5980
76	1083	5950
77	1094	5923
78	1105	5893
79	1117	5865
80	1128	5838
81	1139	5809
82	1153	5795
83	1165	5770
84	1177	5750
85	1189	5726
86	1200	5701
87	1212	5675
88	1224	5654
89	1235	5628
90	1246	5604
91	1258	5579
92	1269	5554
93	1281	5533
94	1292	5510
95	1304	5489
96	1315	5467
97	1327	5444
98	1338	5421
99	1349	5397
100	1361	5379
101	1373	5358
102	1386	5342
103	1397	5320
104	1408	5300
105	1419	5277
106	1431	5257
107	1443	5238
108	1454	5217
109	1466	5197
110	1479	5184
111	1493	5174
112	1507	5163
113	1518	5141
114	1530	5125
115	1542	5107
116	1553	5086
117	1565	5066
118	1576	5046
119	1586	5025
120	1597	5003
121	1608	4983
122	1619	4964
123	1630	4943
124	1642	4927
125	1654	4909
126	1665	4891
127	1676	4873
128	1688	4855
129	1699	4836
130	1710	4817
131	1721	4798
132	1732	4779
133	1743	4761
134	1754	4743
135	1765	4725
136	1776	4707
137	1788	4691
138	1799	4674
139	1810	4656
140	1821	4638
141	1832	4620
142	1844	4604
143	1855	4587
144	1866	4569
145	1877	4553
146	1888	4535
147	1899	4518
148	1910	4501
149	1922	4485
150	1933	4468
151	1944	4452
152	1955	4435
153	1966	4419
154	1977	4402
155	1989	4386
156	2001	4371
157	2012	4355
158	2023	4339
159	2034	4323
160	2045	4307
161	2057	4291
162	2067	4275
163	2078	4258
164	2089	4241
165	2100	4225
166	2111	4209
167	2122	4194
168	2133	4178
169	2145	4164
170	2156	4148
171	2167	4134
172	2178	4118
173	2189	4102
174	2200	4087
175	2211	4071
176	2222	4056
177	2233	4040
178	2244	4025
179	2255	4009
180	2266	3994
181	2277	3978
182	2288	3964
183	2301	3951
184	2312	3937
185	2324	3923
186	2335	3909
187	2347	3895
188	2359	3882
189	2370	3868
190	2382	3854
191	2394	3840
192	2405	3826
193	2417	3812
194	2428	3797
195	2440	3784
196	2451	3770
197	2461	3754
198	2473	3741
199	2484	3727
200	2495	3712
201	2506	3698
202	2518	3684
203	2529	3670
204	2540	3656
205	2551	3640
206	2561	3626
207	2572	3611
208	2584	3598
209	2594	3583
210	2605	3569
211	2617	3555
212	2629	3542
213	2639	3527
214	2650	3513
215	2660	3498
216	2672	3485
217	2683	3471
218	2693	3456
219	2704	3442
220	2715	3427
221	2726	3413
222	2737	3400
223	2749	3387
224	2760	3374
225	2772	3361
226	2784	3348
227	2795	3334
228	2805	3319
229	2816	3306
230	2827	3292
231	2837	3277
232	2847	3263
233	2858	3249
234	2870	3236
235	2881	3223
236	2891	3209
237	2903	3195
238	2913	3181
239	2924	3168
240	2935	3154
241	2945	3140
242	2956	3127
243	2968	3114
244	2979	3100
245	2990	3087
246	3001	3074
247	3012	3060
248	3022	3047
249	3033	3033
250	3044	3019
251	3054	3006
252	3065	2993
253	3076	2979
254	3086	2965
255	3097	2952
256	3108	2939
257	3119	2926
258	3130	2912
259	3141	2900
260	3153	2887
261	3163	2873
262	3175	2861
263	3186	2848
264	3197	2835
265	3208	2822
266	3218	2808
267	3229	2795
268	3240	2782
269	3250	2769
270	3260	2755
271	3271	2742
272	3282	2729
273	3293	2716
274	3305	2704
275	3315	2691
276	3327	2678
277	3337	2665
278	3348	2652
279	3359	2639
280	3370	2626
281	3381	2614
282	3393	2601
283	3404	2589
284	3415	2576
285	3426	2563
286	3438	2551
287	3501	2577
288	3541	2585
289	3589	2599
290	3602	2587
291	3615	2575
292	3626	2561
293	3640	2551
294	3653	2538
295	3665	2526
296	3678	2514
297	3690	2501
298	3703	2489
299	3715	2476
300	3726	2463
301	3739	2451
302	3751	2439
303	3763	2426
304	3775	2414
305	3787	2401
306	3799	2388
307	3810	2375
308	3821	2362
309	3833	2349
310	3844	2336
311	3855	2322
312	3867	2310
313	3878	2297
314	3890	2285
315	3903	2272
316	3914	2259
317	3927	2247
318	3938	2234
319	3950	2222
320	3962	2209
321	3974	2197
322	3985	2184
323	3997	2171
324	4008	2158
325	4019	2145
326	4032	2133
327	4043	2120
328	4054	2107
329	4066	2094
330	4077	2082
331	4089	2069
332	4101	2056
333	4112	2043
334	4123	2031
335	4134	2018
336	4146	2005
337	4158	1992
338	4169	1980
339	4181	1967
340	4192	1954
341	4204	1942
342	4216	1929
343	4228	1917
344	4239	1904
345	4251	1892
346	4262	1879
347	4274	1866
348	4285	1854
349	4296	1841
350	4308	1828
351	4319	1816
352	4330	1803
353	4341	1790
354	4354	1778
355	4365	1765
356	4376	1753
357	4388	1740
358	4399	1728
359	4411	1715
360	4423	1703
361	4434	1690
362	4444	1677
363	4457	1665
364	4467	1652
365	4479	1639
366	4491	1627
367	4502	1615
368	4514	1602
369	4525	1590
370	4537	1577
371	4548	1565
372	4559	1552
373	4570	1539
374	4581	1527
375	4593	1514
376	4604	1502
377	4615	1489
378	4627	1477
379	4638	1464
380	4649	1452
381	4660	1439
382	4673	1427
383	4685	1415
384	4699	1403
385	4712	1391
386	4725	1379
387	4737	1367
388	4748	1355
389	4760	1342
390	4770	1329
391	4781	1317
392	4792	1304
393	4803	1292
394	4814	1279
395	4825	1267
396	4836	1254
397	4847	1242
398	4858	1229
399	4869	1217
400	4880	1204
401	4892	1192
402	4903	1180
403	4914	1167
404	4926	1155
405	4938	1143
406	4948	1130
407	4958	1118
408	4970	1105
409	4980	1093
410	4991	1080
411	5002	1068
412	5015	1056
413	5025	1043
414	5036	1031
415	5047	1019
416	5059	1007
417	5069	994
418	5080	982
419	5091	969
420	5102	957
421	5112	945
422	5124	932
423	5135	920
424	5146	908
425	5157	895
426	5168	883
427	5179	871
428	5190	858
429	5201	846
430	5211	834
431	5222	822
432	5233	809
433	5244	797
434	5255	785
435	5267	773
436	5277	760
437	5288	748
438	5299	736
439	5310	724
440	5321	711
441	5332	699
442	5343	687
443	5354	675
444	5364	663
445	5375	650
446	5386	638
447	5396	626
448	5407	614
449	5418	602
450	5429	589
451	5440	577
452	5452	565
453	5463	553
454	5474	541
455	5486	529
456	5497	517
457	5508	505
458	5519	492
459	5529	480
460	5541	468
461	5552	456
462	5563	444
463	5574	432
464	5585	420
465	5596	408
466	5607	396
467	5619	384
468	5630	372
469	5642	360
470	5653	348
471	5664	336
472	5675	323
473	5686	311
474	5698	299
475	5709	287
476	5720	275
477	5730	263
478	5741	251
479	5753	239
480	5763	227
481	5774	215
482	5785	203
483	5796	191
484	5807	179
485	5819	167
486	5830	155
487	5841	143
488	5852	131
489	5863	119
490	5874	107
491	5885	95
492	5896	83
493	5907	71
494	5918	59
495	5930	47
496	5942	35
497	5953	23
498	5965	11
499	5976	0
